"Reference","QNum","Answer","TargetDate","ActionPlan","version"
"AF177862   ","1","yes","","","2"
"AF177862   ","2","yes","","","2"
"AF177862   ","3","yes","","","2"
"AF177862   ","4","yes","","","2"
"AF177862   ","5","yes","","","2"
"AF177862   ","6","yes","","","2"
"AF177862   ","7","yes","","","2"
"AF177862   ","8","yes","","","2"
"AF177862   ","9","no","2016-01-30","Board meeting scheduled to approve the draft budget ","2"
"AF177862   ","10","na","","","2"
"AF177862   ","11","no","2016-01-30","Budget to be submitted on approval","2"
"AF177862   ","12","yes","","","2"
"AF177862   ","13","yes","","","2"
"AF177862   ","14","yes","","","2"
"AF177862   ","15","yes","","","2"
"AF177862   ","16","yes","","","2"
"AF177862   ","17","yes","","","2"
"AF177862   ","18","yes","","","2"
"AF177862   ","19","yes","","","2"
"AF177862   ","20","yes","","","2"
"AF177862   ","21","yes","","","2"
"AF177862   ","22","no","2016-01-30","New trust website under construction at present time, details will be entered when website completed","2"
"AF177862   ","23","yes","","","2"
"AF177862   ","24","no","2016-01-30","Board will meet to approve the draft policy","2"
"AF177862   ","25","yes","","","2"
"AF177862   ","26","yes","","","2"
"AF177862   ","27","yes","","","2"
"AF177862   ","28","yes","","","2"
"AF177862   ","29","yes","","","2"
"AF177862   ","30","yes","","","2"
"AF177862   ","31","yes","","","2"
"AF177862   ","32","yes","","","2"
"AF177862   ","33","na","","","2"
"AF169825   ","1","yes","","","2"
"AF169825   ","2","yes","","","2"
"AF169825   ","3","yes","","","2"
"AF169825   ","4","yes","","","2"
"AF169825   ","5","yes","","","2"
"AF169825   ","6","yes","","","2"
"AF169825   ","7","no","2016-03-31","Suitably qualified interim staff have been engaged under consultancy arrangements pending the appointment of the Chief Financial Officer on a permanent basis.","2"
"AF169825   ","8","yes","","","2"
"AF169825   ","9","yes","","","2"
"AF169825   ","10","na","","","2"
"AF169825   ","11","yes","","","2"
"AF169825   ","12","yes","","","2"
"AF169825   ","13","yes","","","2"
"AF169825   ","14","yes","","","2"
"AF169825   ","15","no","2016-01-31","Business interruption/continuity plans are already established at academy level. A limited business continuity plan for the Trust that focuses on the replacement of key central personnel and the protection of data is being developed.","2"
"AF169825   ","16","yes","","","2"
"AF169825   ","17","yes","","","2"
"AF169825   ","18","yes","","","2"
"AF169825   ","19","yes","","","2"
"AF169825   ","20","yes","","","2"
"AF169825   ","21","yes","","","2"
"AF169825   ","22","no","2016-01-31","The business and pecuniary interests of the Trustees and Members will be published with the accounts of the Trust by 31 January 2016 and annually thereafter,","2"
