"Reference","URN","Version"
"AF100344   ","140903","1"
"AF100344   ","141649","1"
"AF100610   ","138217","1"
"AF100715   ","139380","1"
"AF100715   ","139806","1"
"AF101241   ","138482","1"
"AF101241   ","141335","1"
"AF101246   ","137621","1"
"AF101246   ","141395","1"
"AF101668   ","137140","1"
"AF101668   ","141364","1"
"AF101668   ","141459","1"
"AF101677   ","140181","1"
"AF101677   ","141658","1"
"AF101750   ","140212","1"
"AF101845   ","136322","1"
"AF101845   ","140669","1"
"AF101845   ","141371","1"
"AF101845   ","141406","1"
"AF101845   ","141639","1"
"AF101886   ","138643","1"
"AF101886   ","141171","1"
"AF101901   ","140347","1"
"AF101901   ","141622","1"
"AF101942   ","138046","1"
"AF101942   ","140989","1"
"AF102006   ","141056","1"
"AF102013   ","135650","1"
"AF102013   ","141172","1"
"AF102013   ","141192","1"
"AF102013   ","141314","1"
"AF102013   ","141360","1"
"AF102013   ","141584","1"
"AF102013   ","141662","1"
"AF102013   ","141663","1"
"AF102013   ","141691","1"
"AF102013   ","141721","1"
"AF102013   ","141778","1"
"AF102013   ","141780","1"
"AF102102   ","138157","1"
"AF102102   ","141606","1"
"AF102110   ","141623","1"
"AF102236   ","137100","1"
"AF102236   ","141331","1"
"AF102236   ","141344","1"
"AF102274   ","137851","1"
"AF102274   ","141828","1"
"AF102439   ","137282","1"
"AF102439   ","141260","1"
"AF102723   ","139217","1"
"AF102723   ","140017","1"
"AF102723   ","140715","1"
"AF102723   ","141324","1"
"AF102723   ","141396","1"
"AF102723   ","141397","1"
"AF102954   ","136199","1"
"AF102954   ","137160","1"
"AF102954   ","138428","1"
"AF102954   ","138429","1"
"AF102954   ","140264","1"
"AF102992   ","139722","1"
"AF102992   ","141382","1"
"AF102998   ","141126","1"
"AF103083   ","139494","1"
"AF103083   ","141889","1"
"AF103150   ","140931","1"
"AF103273   ","140264","1"
"AF103273   ","141273","1"
"AF103326   ","141275","1"
"AF103371   ","141865","1"
"AF103462   ","141605","1"
"AF103470   ","137595","1"
"AF103470   ","138765","1"
"AF103470   ","139948","1"
"AF103470   ","139951","1"
"AF103470   ","140509","1"
"AF103470   ","140860","1"
"AF103542   ","136184","1"
"AF103542   ","136278","1"
"AF103542   ","141193","1"
"AF103542   ","141306","1"
"AF103554   ","141782","1"
"AF103554   ","141790","1"
"AF103554   ","141795","1"
"AF103554   ","141801","1"
"AF103739   ","140826","1"
"AF103926   ","141733","1"
"AF104112   ","139579","1"
"AF104127   ","141718","1"
"AF104163   ","139031","1"
"AF104163   ","140458","1"
"AF104163   ","140896","1"
"AF104768   ","137884","1"
"AF104768   ","141361","1"
"AF104768   ","141362","1"
"AF104934   ","141119","1"
"AF105262   ","141706","1"
"AF105431   ","141655","1"
"AF105431   ","141868","1"
"AF105769   ","136908","1"
"AF105769   ","141318","1"
"AF105857   ","139139","1"
"AF105857   ","141811","1"
"AF106531   ","141814","1"
"AF106531   ","141832","1"
"AF106531   ","141834","1"
"AF106643   ","139324","1"
"AF106643   ","141800","1"
"AF107140   ","138110","1"
"AF107140   ","140627","1"
"AF107214   ","141930","1"
"AF107467   ","141577","1"
"AF107714   ","141933","1"
"AF107819   ","141080","1"
"AF108509   ","138626","1"
"AF108509   ","141692","1"
"AF108516   ","136926","1"
"AF108516   ","141695","1"
"AF108516   ","141740","1"
"AF110342   ","139844","1"
"AF110342   ","141758","1"
"AF110342   ","141845","1"
"AF110665   ","141844","1"
"AF110665   ","141852","1"
"AF110703   ","138069","1"
"AF110703   ","140547","1"
"AF110744   ","140904","1"
"AF110788   ","138214","1"
"AF111228   ","136470","1"
"AF111228   ","136471","1"
"AF111228   ","136472","1"
"AF111228   ","136475","1"
"AF111768   ","139300","1"
"AF111768   ","141746","1"
"AF111916   ","140902","1"
"AF112447   ","141073","1"
"AF112447   ","141077","1"
"AF112447   ","141079","1"
"AF112447   ","141080","1"
"AF112570   ","141803","1"
"AF112664   ","138385","1"
"AF112664   ","138990","1"
"AF112664   ","139037","1"
"AF112749   ","138704","1"
"AF112849   ","141764","1"
"AF112945   ","140189","1"
"AF112945   ","141050","1"
"AF113070   ","141757","1"
"AF113070   ","141768","1"
"AF113070   ","141786","1"
"AF113070   ","141794","1"
"AF113070   ","141821","1"
"AF113070   ","141829","1"
"AF113070   ","141854","1"
"AF113189   ","138276","1"
"AF113189   ","140064","1"
"AF113526   ","141769","1"
"AF113526   ","141789","1"
"AF113526   ","141802","1"
"AF113526   ","141827","1"
"AF113528   ","140527","1"
"AF114005   ","141792","1"
"AF114205   ","141788","1"
"AF114603   ","140104","1"
"AF114603   ","141232","1"
"AF114638   ","141893","1"
"AF114638   ","141911","1"
"AF114848   ","141633","1"
"AF114848   ","141634","1"
"AF114848   ","141635","1"
"AF115203   ","141819","1"
"AF115203   ","141842","1"
"AF115203   ","141849","1"
"AF115352   ","141808","1"
"AF115365   ","141246","1"
"AF115365   ","141412","1"
"AF115365   ","141443","1"
"AF115573   ","138773","1"
"AF115573   ","138863","1"
"AF115658   ","141822","1"
"AF115720   ","137998","1"
"AF115720   ","141671","1"
"AF115720   ","141745","1"
"AF115778   ","138954","1"
"AF115778   ","141921","1"
"AF115865   ","141152","1"
"AF115894   ","141775","1"
"AF115894   ","141825","1"
"AF116292   ","140840","1"
"AF116401   ","139148","1"
"AF116401   ","141392","1"
"AF116497   ","136521","1"
"AF116497   ","136522","1"
"AF116497   ","136523","1"
"AF116720   ","141907","1"
"AF117058   ","138922","1"
"AF117058   ","141684","1"
"AF117309   ","139066","1"
"AF117309   ","141743","1"
"AF118130   ","141759","1"
"AF118215   ","136628","1"
"AF118215   ","141259","1"
"AF118534   ","142122","1"
"AF118636   ","141917","1"
"AF118717   ","138353","1"
"AF118717   ","141774","1"
"AF118765   ","136674","1"
